# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
3.079999999999999960e-01 6.300000000000000044e-01 7.009999999999999565e-01 6.840000000000000524e-01 7.479999999999999982e-01 9.135999999999999677e-01 2.029999999999999860e-02 2.229200000000000159e+01 2.436700000000000088e+01 5.892999999999999794e+00 4.424000000000000377e+00 2.255200285231440205e+02
2.849999999999999756e-01 8.289999999999999591e-01 1.405000000000000027e+00 1.227000000000000091e+00 1.481999999999999984e+00 8.278999999999999693e-01 1.209999999999999964e-02 2.625400000000000134e+01 1.185669999999999931e+02 1.020199999999999996e+01 3.915999999999999925e+00 2.660151444041585478e+02
1.920000000000000040e-01 8.890000000000000124e-01 1.239000000000000101e+00 1.766999999999999904e+00 1.899000000000000021e+00 9.304999999999999938e-01 1.179999999999999973e-02 2.013299999999999912e+01 2.469600000000000151e+01 7.599999999999999645e+00 3.517999999999999794e+00 2.879165664287387472e+02
4.560000000000000164e-01 2.150999999999999801e+00 2.653999999999999915e+00 1.657999999999999918e+00 1.739000000000000101e+00 9.536999999999999922e-01 1.239999999999999956e-02 3.143700000000000117e+01 3.530599999999999739e+01 3.291999999999999815e+00 4.610000000000000320e+00 2.919083287164708622e+02
3.810000000000000053e-01 1.042000000000000037e+00 2.498000000000000220e+00 1.959999999999999964e+00 2.588999999999999968e+00 7.570999999999999952e-01 8.999999999999999320e-03 2.448199999999999932e+01 2.053399999999999892e+01 4.560999999999999943e+00 3.329000000000000181e+00 3.477042411511226305e+02
3.940000000000000169e-01 1.151999999999999913e+00 1.546000000000000041e+00 1.516000000000000014e+00 1.709999999999999964e+00 8.867000000000000437e-01 1.179999999999999973e-02 3.024699999999999989e+01 2.091000000000000014e+01 1.578599999999999959e+01 3.645000000000000018e+00 3.010971862430443480e+02
8.539999999999999813e-01 1.792000000000000037e+00 1.901000000000000023e+00 9.489999999999999547e-01 9.979999999999999982e-01 9.512000000000000455e-01 1.679999999999999896e-02 2.991900000000000048e+01 2.301399999999999935e+01 7.644999999999999574e+00 3.113999999999999879e+00 2.885862953926516639e+02
2.459999999999999964e-01 5.270000000000000240e-01 2.426000000000000156e+00 7.339999999999999858e-01 1.221000000000000085e+00 6.014000000000000457e-01 1.129999999999999928e-02 4.168399999999999750e+01 2.329599999999999937e+01 5.144000000000000128e+00 1.213700000000000045e+01 2.264044589671371170e+02
4.189999999999999836e-01 8.279999999999999583e-01 1.262000000000000011e+00 5.600000000000000533e-01 7.520000000000000018e-01 7.441999999999999726e-01 1.820000000000000090e-02 3.965500000000000114e+01 4.080700000000000216e+01 4.195000000000000284e+00 7.969000000000000306e+00 2.115459657616073628e+02
3.420000000000000262e-01 9.170000000000000373e-01 1.268000000000000016e+00 1.028000000000000025e+00 1.191999999999999948e+00 8.624000000000000554e-01 1.400000000000000029e-02 5.431900000000000261e+01 3.295499999999999829e+01 3.311999999999999833e+00 4.237000000000000099e+00 2.514895402533144306e+02
4.520000000000000129e-01 8.980000000000000204e-01 1.288000000000000034e+00 5.719999999999999529e-01 7.429999999999999938e-01 7.698000000000000398e-01 1.859999999999999848e-02 3.709799999999999898e+01 2.730900000000000105e+01 5.400000000000000355e+00 7.637999999999999901e+00 2.144653253553466072e+02
